Account,date,total_pnl,avg_pnl,trades_count,win_rate,avg_size_usd,avg_execution_price,avg_fee,coins_traded,sentiment_value,sentiment_class,fg_lag1,fg_lag3,fg_lag7,pnl_per_trade,pnl_per_usd
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,-327505.900056,-708.8872295584415,462,0.025974025974025976,14810.891818181817,2651.0176190476186,2.408865043290043,2,74.0,Greed,72.0,71.0,72.0,-708.8872295584415,-0.0478625621104202
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,1927735.720035,574.4146960771752,3356,0.40554231227651966,16345.241939809297,1985.4640554231228,1.874975165077473,2,44.0,Fear,47.0,54.0,46.0,574.4146960771752,0.035142624269034035
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,20607.446093000002,64.39826904062501,320,0.53125,2492.74990625,376.1923940625,0.631772347125,2,74.0,Greed,72.0,71.0,72.0,64.39826904062501,0.025834227845786328
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,17098.727055,4.839718951316161,3533,0.43504104160769885,1693.3516841211435,168.79034400792528,0.4712467222247382,6,44.0,Fear,47.0,54.0,46.0,4.839718951316161,0.002858070769763338
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-06-15,10179.147366,2.9702793597899033,3427,0.44236941931718704,1533.4683950977533,355.1248520863729,0.25175257304639626,9,,,,,,2.9702793597899033,0.001936968097474587
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,-1.0,-0.2,5,0.0,6070.2,151.754,2.0395864,1,50.0,Neutral,51.0,47.0,46.0,-0.2,-3.2947843563638756e-05
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,1793.1602149999999,358.63204299999995,5,0.8,31941.660000000003,3088.326,6.9324102,2,74.0,Greed,72.0,71.0,72.0,358.63204299999995,0.011227720882383694
0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,29970.928216,26.382859345070422,1136,0.43045774647887325,10836.90096830986,20366.698045774647,3.2079199436619716,3,44.0,Fear,47.0,54.0,46.0,26.382859345070422,0.002434539119829674
0x271b280974205ca63b716753467d5a371de622ab,2025-06-15,-102199.279749,-38.37749896695456,2663,0.246714232069095,8025.783559894856,14124.195995782951,2.0998594859181376,6,,,,,,-38.37749896695456,-0.004781775969978605
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,121880.386016,18.831950867737948,6472,0.4437577255871446,483.5901143386898,3105.8200193823313,0.16676402863102596,56,74.0,Greed,72.0,71.0,72.0,18.831950867737948,0.03894196822755707
